groupby_lastfm,year,song,artist,genre,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,genre_category,Alternative & Punk,Classical,Electronica,Jazz,Other,Pop,Rock,Soundtrack,Traditional,Urban,number_of_songs_by_artist,total_number_of_songs_by_artist,genre_Count_from2005,groupby_youtube,groupby_5,groupby_3,rankby_total_count,groupby_3_total_rank,groupby_5_total_rank,full_gerne_count
3,1968,Do Something To Me,Tommy James And The Shondells,Rock,365,9,3494,49,18763,2441,11310.0,5602,30073.0,6,0,0,0,0,0,0,1,0,0,0,188,188,1990,7,4,3,4639,2,3,75454
5,1969,St. Louis,The Easybeats,Rock,1,1,8372,980,5946,3653,24103.0,4603,30049.0,6,0,0,0,0,0,0,1,0,0,0,15,15,1990,6,3,2,4640,2,3,75454
5,1969,Reuben James,Kenny Rogers & The First Edition,Rock,624,12,2088,242,3499,4188,26493.0,4481,29992.0,6,0,0,0,0,0,0,1,0,0,0,62,75,1990,6,3,2,4642,2,3,75454
5,1967,A Thousand Shadows,The Seeds,Rock,78,4,6113,614,6189,3620,23772.0,4621,29961.0,6,0,0,0,0,0,0,1,0,0,0,24,24,1990,6,3,2,4644,2,3,75454
7,1970,Listen Here,Brian Auger & The Trinity,Rock,2,2,8289,2217,1380,5158,28443.0,4403,29823.0,6,0,0,0,0,0,0,1,0,0,0,2,2,1990,6,3,2,4652,2,3,75454
5,1970,Oh My My,The Monkees,Rock,5,2,8076,85,7247,3465,22546.0,4686,29793.0,-1,0,0,0,0,0,0,0,0,0,0,144,166,1990,6,3,2,4655,2,3,75454
5,1961,Big Big World,Johnny Burnette,Rock,199,7,4874,274,3722,4127,26056.0,4507,29778.0,6,0,0,0,0,0,0,1,0,0,0,55,55,1990,6,3,2,4656,2,3,75454
9,1967,Wednesday,The Royal Guardsmen,Rock,7,2,7866,325,79,7318,29633.0,4343,29712.0,6,0,0,0,0,0,0,1,0,0,0,46,46,1990,6,3,2,4657,2,3,75454
8,1969,The Days Of Sand And Shovels,Bobby Vinton,Rock,384,8,3357,15,264,6612,29397.0,4356,29661.0,6,0,0,0,0,0,0,1,0,0,0,291,369,1990,6,3,2,4658,2,3,75454
9,1965,Cast Your Fate To The Wind,Steve Alaimo,Rock,23,2,7122,605,93,7243,29566.0,4345,29659.0,6,0,0,0,0,0,0,1,0,0,0,24,33,1990,6,3,2,4659,2,3,75454
