,song,artist,sum,count,old_popularity,lastfm_count,new_popularity,genre,year
3075,Needles And Pins,The Searchers,16938,10,3076,289878,507,Rock,
4902,Spinning Wheel,"Blood, Sweat & Tears",12074,13,4903,288535,509,Rock,
1715,A Teenager In Love,Dion & The Belmonts,20196,15,1716,288224,510,Rock,
3214,You Don't Own Me,Lesley Gore,16650,13,3215,287755,512,Rock,
2495,Be True To Your School,The Beach Boys,18286,12,2496,286300,514,Rock,
2959,Marrakesh Express,"Crosby, Stills & Nash",17226,8,2960,281786,521,Rock,
500,"He Ain't Heavy, He's My Brother",The Hollies,25512,18,501,281196,522,Rock,
795,Let's Work Together,Canned Heat,23726,11,796,276930,527,Rock,
1218,Carol,Chuck Berry,21820,10,1219,276866,528,Rock,
2122,Summer Wine,Nancy Sinatra with Lee Hazlewood,19100,9,2123,275827,530,Rock,
5028,Splish Splash,Bobby Darin,11548,8,5029,274952,532,Rock,
1378,Raindrops Keep Fallin' On My Head,B.J. Thomas,21260,22,1379,273703,534,Rock,
2275,I Fought The Law,Bobby Fuller Four,18764,11,2276,269540,541,Rock,
2484,Poetry In Motion,Johnny Tillotson,18306,15,2485,268937,542,Rock,
1393,He's A Rebel,The Crystals,21222,18,1394,267862,544,Rock,
7733,Greasy Heart,Jefferson Airplane,882,3,7734,264257,549,Rock,
5338,Gloria,Them,10370,7,5339,263972,550,Rock,
3816,Mr. Spaceman,The Byrds,15476,7,3817,262796,552,Rock,
1659,Out Of Limits,The Marketts,20358,14,1660,262339,553,Rock,
5188,In The Year 2525,Zager & Evans,10942,13,5189,255591,558,Rock,
4469,Jingo,Santana,13560,8,4470,255003,559,Rock,
700,Stupid Cupid,Connie Francis,24172,13,701,254119,562,Rock,
2743,Give Him A Great Big Kiss,The Shangri-Las,17752,9,2744,253667,563,Rock,
3901,When I Grow Up (To Be A Man),The Beach Boys,15228,10,3902,249910,567,Rock,
1219,"Liar, Liar",The Castaways,21812,14,1220,248959,569,Rock,
1332,Come And Get It,Badfinger,21414,15,1333,247094,573,Rock,
6714,Heartbeat,Buddy Holly,3454,4,6715,246143,574,Rock,
3348,Bluebird,The Buffalo Springfield,16394,7,3349,242748,577,Rock,
2322,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,18664,15,2323,241145,579,Rock,
4164,Crystal Blue Persuasion,Tommy James And The Shondells,14394,15,4165,239686,580,Rock,
18,Chantilly Lace,Big Bopper,41156,25,19,236605,582,Rock,
3928,Judy In Disguise (With Glasses),John Fred And The Playboys,15158,16,3929,236053,585,Rock,
1614,Midnight Confessions,The Grass Roots,20484,15,1615,235973,586,Rock,
3993,Breaking Up Is Hard To Do,Neil Sedaka,14928,14,3994,234452,589,Rock,
848,Pushin' Too Hard,The Seeds,23434,11,849,232719,590,Rock,
4426,Wild Honey,The Beach Boys,13666,6,4427,230600,596,Rock,
3256,Classical Gas,Mason Williams,16562,14,3257,229711,597,Rock,
3104,Wigwam,Bob Dylan,16890,7,3105,228858,599,Rock,
2076,Let's Live For Today,The Grass Roots,19220,12,2077,228776,600,Rock,
4114,Young Girl,The Union Gap Featuring Gary Puckett,14556,15,4115,228128,602,Rock,
4798,Remember (Walkin' in the Sand),The Shangri-Las,12416,11,4799,228040,603,Rock,
3163,The Windmills Of Your Mind,Dusty Springfield,16760,8,3164,225605,604,Rock,
603,Let's Have A Party,Wanda Jackson,24868,10,604,225317,605,Rock,
