song,artist,lastfm_count,new_popularity
Moon River,Henry Mancini And His Orchestra,380162.0,421
I Second That Emotion,Smokey Robinson & The Miracles,379298.0,422
Nothing Can Change This Love,Sam Cooke,378535.0,423
I Want To Take You Higher,Sly & The Family Stone,378067.0,424
Crying In The Chapel,Elvis Presley With The Jordanaires,377852.0,425
Cold Turkey,Plastic Ono Band,376514.0,426
Can't Seem To Make You Mine,The Seeds,373742.0,427
Up From The Skies,The Jimi Hendrix Experience,372993.0,428
Get Together,The Youngbloods,372939.0,429
Hang On Sloopy,The McCoys,371748.0,430
Dedicated To The One I Love,The Mamas & The Papas,369970.0,431
Tell It Like It Is,Aaron Neville,369339.0,432
96 Tears,? (Question Mark) & The Mysterians,363846.0,433
Something In The Air,Thunderclap Newman,363442.0,434
She's Not You,Elvis Presley With The Jordanaires,360866.0,435
Tonight I'll Be Staying Here With You,Bob Dylan,357968.0,436
Money (That's what I want),Barrett Strong,356945.0,437
Smoke Gets In Your Eyes,The Platters,356785.0,438
Sugar Town,Nancy Sinatra,356585.0,439
Knock On Wood,Eddie Floyd,356343.0,440
I Can't Get Next To You,Al Green,354997.0,441
Love Man,Otis Redding,353091.0,442
Do It Again,The Beach Boys,350982.0,443
Wooly Bully,Sam The Sham and the Pharaohs,349393.0,444
The Wanderer,Dion,348824.0,445
Keep On Running,The Spencer Davis Group,344929.0,446
Ain't No Way,Aretha Franklin,342065.0,447
I Threw It All Away,Bob Dylan,341985.0,448
(Marie's The Name) His Latest Flame,Elvis Presley,341068.0,449
Flesh And Blood,Johnny Cash,340072.0,450
Words,Bee Gees,339892.0,451
Atlantis,Donovan,339419.0,452
I Can Hear Music,The Beach Boys,339367.0,453
My Lover's Prayer,Otis Redding,337373.0,454
She'd Rather Be With Me,The Turtles,337265.0,455
Run Rudolph Run,Chuck Berry,336622.0,456
If I Can Dream,Elvis Presley,336145.0,457
California Dreamin',Bobby Womack,335595.0,458
"Dance, Dance, Dance",The Beach Boys,334932.0,459
Love Is All Around,The Troggs,333465.0,460
The Lion Sleeps Tonight,The Tokens,332303.0,461
My Back Pages,The Byrds,330681.0,462
Wear Your Love Like Heaven,Donovan,330679.0,463
All I Really Want To Do,The Byrds,330585.0,464
I'm A Man,The Yardbirds,330300.0,465
