,song,artist,sum,count,lastfm_count
223,Surfin' U.S.A.,The Beach Boys,412,17,777563.0
224,Money (That's what I want),Barrett Strong,748,17,356945.0
225,The Shelter Of Your Arms,Sammy Davis Jr.,918,17,11882.0
226,(They Long To Be) Close To You,Carpenters,252,17,607779.0
227,Cathy's Clown,The Everly Brothers,357,17,307976.0
228,We Got Love,Bobby Rydell,413,17,17114.0
229,Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks),511,17,142.0
230,You're The Reason,Bobby Edwards,805,17,3051.0
231,Blue's Theme,Davie Allan And The Arrows,1153,17,6191.0
232,What's Easy For Two Is So Hard For One,Mary Wells,909,17,6652.0
233,Venus,Frankie Avalon,368,17,184808.0
234,Calcutta,Lawrence Welk And His Orchestra,346,17,162.0
235,Tiny Bubbles,Don Ho and the Aliis,1308,17,21.0
236,The Big Hurt,Miss Toni Fisher,369,17,9661.0
237,To Sir With Love,Lulu,293,17,129466.0
238,The Three Bells,The Browns,330,17,25106.0
239,The Stripper,David Rose and His Orchestra,414,17,2463.0
240,You Keep Me Hangin' On,The Vanilla Fudge,671,17,20.0
241,Wonderland By Night,Bert Kaempfert And His Orchestra,242,17,891.0
242,We'll Sing In The Sunshine,Gale Garnett,473,17,21593.0
243,"Woman, Woman",The Union Gap Featuring Gary Puckett,338,17,34694.0
244,The One Who Really Loves You,Mary Wells,589,17,79819.0
245,Burning Bridges,Jack Scott,498,17,16648.0
246,Win Your Love For Me,Sam Cooke,919,17,184472.0
247,The Happy Organ,Dave 'Baby' Cortez,396,17,3221.0
248,California Dreamin',The Mamas & The Papas,452,17,3842033.0
249,The End Of The World,Skeeter Davis,433,17,654963.0
250,(All of a Sudden) My Heart Sings,Paul Anka,579,17,4642.0
251,What Becomes Of The Brokenhearted,Jimmy Ruffin,467,17,401009.0
252,Deck Of Cards,Wink Martindale,538,17,6576.0
253,Wild Weekend,The Rebels,580,17,2240.0
254,Pipeline,Chantay's,516,16,174233.0
255,Playboy,Gene And Debbe,553,16,97.0
256,Poison Ivy,The Coasters,470,16,124481.0
257,Where Or When,Dion & The Belmonts,492,16,57152.0
258,Portrait Of My Love,Steve Lawrence,543,16,47532.0
